topic_id,category,topic_raw,instruction,topic_content,topic_type,constraints,expected_anchors,topic_keyphrases
194,Environment,Discuss ways to conserve energy at home,discuss,ways to conserve energy at home,advice,,steps|example|why_it_works,energy at home|conserve energy|home|conserve|energy
195,Health & Fitness,Talk about the benefits of drinking enough water,talk about,the benefits of drinking enough water,general,,main_point|supporting_points|example,drinking enough water|benefits of drinking|water|benefits|drinking
196,Science,Share an interesting scientific fact you recently learned,share,an interesting scientific fact you recently learned,general,recent,main_point|supporting_points|example,interesting scientific fact|recently learned|interesting scientific|scientific fact|fact you recently|learned|interesting|scientific
197,Social Issues,Discuss a social campaign you admire,discuss,a social campaign you admire,general,,main_point|supporting_points|example,campaign you admire|social campaign|admire|social|campaign
198,Entertainment,Describe your favorite type of movie and why,describe,your favorite type of movie and why,explain,,definition|how_it_works|example|impact,favorite type|type of movie|favorite|type|movie
199,History,Explain the significance of a historical document,explain,the significance of a historical document,explain,,definition|how_it_works|example|impact,historical document|document|significance|historical
200,Food,Share your favorite cooking tip or technique,share,your favorite cooking tip or technique,general,,main_point|supporting_points|example,favorite cooking tip|tip or technique|favorite cooking|cooking tip|technique|favorite|cooking|tip
201,Sports,Talk about a sport you enjoy playing or watching,talk about,a sport you enjoy playing or watching,general,,main_point|supporting_points|example,playing or watching|sport you enjoy|enjoy playing|watching|sport|enjoy|playing
202,Motivation,Describe a quote that motivates you to take action,describe,a quote that motivates you to take action,general,,main_point|supporting_points|example,quote that motivates|action|quote|motivates
203,Relationships,Share a friendship that influenced your life,share,a friendship that influenced your life,general,,main_point|supporting_points|example,influenced your life|friendship that influenced|life|friendship|influenced
204,Art & Literature,Discuss your favorite artwork in a museum,discuss,your favorite artwork in a museum,general,,main_point|supporting_points|example,favorite artwork|museum|favorite|artwork
205,Current Affairs,Explain a current news story that impacted you,explain,a current news story that impacted you,explain,,definition|how_it_works|example|impact,current news story|story that impacted|current|story|impacted
206,Education,Describe a memorable school project,describe,a memorable school project,experience,school,time|place|who|what_happened|reflection,memorable school project|school project|memorable school|project|memorable|school
207,Lifestyle,Talk about a place where you feel peaceful,talk about,a place where you feel peaceful,general,,main_point|supporting_points|example,feel peaceful|peaceful|place|feel
208,Technology,Discuss the role of robotics in modern life,discuss,the role of robotics in modern life,general,,main_point|supporting_points|example,modern life|role of robotics|robotics in modern|life|role|robotics|modern
209,Environment,Explain how pollution affects human health,explain,how pollution affects human health,explain,,definition|how_it_works|example|impact,affects human health|pollution affects human|human health|pollution affects|affects human|health|pollution|affects
210,Health & Fitness,Share strategies for maintaining mental health,share,strategies for maintaining mental health,advice,,steps|example|why_it_works,maintaining mental health|strategies for maintaining|mental health|maintaining mental|strategies|health|maintaining|mental
211,Science,Talk about a historical discovery that fascinates you,talk about,a historical discovery that fascinates you,general,,main_point|supporting_points|example,historical discovery|discovery that fascinates|historical|discovery|fascinates
212,Social Issues,Describe a social issue that needs urgent attention,describe,a social issue that needs urgent attention,general,,main_point|supporting_points|example,urgent attention|social issue|attention|social|issue|urgent
213,Entertainment,Share your favorite TV show or series,share,your favorite TV show or series,general,,main_point|supporting_points|example,show or series|favorite tv show|series|favorite|show
214,History,Discuss the lessons learned from a historical event,discuss,the lessons learned from a historical event,event,,time|place|what_happened|your_view,historical event|lessons learned|event|lessons|learned|historical
215,Food,Explain a traditional recipe you enjoy making,explain,a traditional recipe you enjoy making,explain,,definition|how_it_works|example|impact,enjoy making|traditional recipe|recipe you enjoy|making|traditional|recipe|enjoy
216,Sports,Talk about a famous athlete who inspires you,talk about,a famous athlete who inspires you,general,,main_point|supporting_points|example,famous athlete|athlete who inspires|famous|athlete|inspires
217,Motivation,Describe a motivational story from your school,describe,a motivational story from your school,story,school,time|place|who|what_happened|result,motivational story|school|motivational|story
218,Relationships,Share an experience with a mentor or coach,share,an experience with a mentor or coach,experience,,time|place|who|what_happened|reflection,mentor or coach|coach|experience|mentor
219,Art & Literature,Discuss a famous literary work and its impact,discuss,a famous literary work and its impact,general,work,main_point|supporting_points|example,famous literary work|famous literary|literary work|impact|famous|literary|work
220,Current Affairs,Explain how current affairs shape public opinion,explain,how current affairs shape public opinion,explain,,definition|how_it_works|example|impact,shape public opinion|current affairs shape|affairs shape public|public opinion|current affairs|affairs shape|shape public|opinion
221,Education,Describe a method that helped you study effectively,describe,a method that helped you study effectively,explain,,definition|how_it_works|example|impact,study effectively|method that helped|helped you study|effectively|method|helped|study
222,Lifestyle,Talk about a new activity you tried recently,talk about,a new activity you tried recently,general,recent,main_point|supporting_points|example,recently|activity
223,Technology,Discuss the impact of AI on everyday life,discuss,the impact of AI on everyday life,general,,main_point|supporting_points|example,everyday life|life|impact|everyday
224,Environment,Share ways to reduce waste in daily life,share,ways to reduce waste in daily life,advice,,steps|example|why_it_works,daily life|reduce waste|waste in daily|life|reduce|waste|daily
225,Health & Fitness,Describe the benefits of regular physical activity,describe,the benefits of regular physical activity,general,,main_point|supporting_points|example,regular physical activity|physical activity|benefits of regular|regular physical|activity|benefits|regular|physical
226,Science,Talk about an inspiring scientific experiment,talk about,an inspiring scientific experiment,general,,main_point|supporting_points|example,inspiring scientific experiment|scientific experiment|inspiring scientific|experiment|inspiring|scientific
227,Social Issues,Discuss a social initiative that changed lives,discuss,a social initiative that changed lives,general,,main_point|supporting_points|example,changed lives|social initiative|initiative that changed|lives|social|initiative|changed
228,Entertainment,Describe a memorable concert or live performance,describe,a memorable concert or live performance,experience,,time|place|who|what_happened|reflection,live performance|memorable concert|concert or live|performance|memorable|concert|live
229,History,Explain the significance of a major historical battle,explain,the significance of a major historical battle,explain,,definition|how_it_works|example|impact,major historical battle|historical battle|major historical|battle|significance|major|historical
230,Food,Talk about a meal that you will never forget,talk about,a meal that you will never forget,general,,main_point|supporting_points|example,forget|meal
231,Sports,Share a story about teamwork in sports,share,a story about teamwork in sports,story,,time|place|who|what_happened|result,teamwork in sports|story about teamwork|sports|story|teamwork
232,Motivation,Describe a motivational figure from history,describe,a motivational figure from history,general,,main_point|supporting_points|example,figure from history|motivational figure|history|motivational|figure
233,Relationships,Talk about a relationship that taught you patience,talk about,a relationship that taught you patience,general,personal,main_point|supporting_points|example,taught you patience|relationship that taught|patience|relationship|taught
234,Art & Literature,Explain your favorite art style or movement,explain,your favorite art style or movement,explain,,definition|how_it_works|example|impact,favorite art style|style or movement|favorite art|art style|movement|favorite|art|style
235,Current Affairs,Discuss the latest headlines that caught your attention,discuss,the latest headlines that caught your attention,general,,main_point|supporting_points|example,caught your attention|latest headlines|headlines that caught|attention|latest|headlines|caught
236,Education,Describe a learning technique that works for you,describe,a learning technique that works for you,general,,main_point|supporting_points|example,learning technique|technique that works|learning|technique|works
237,Lifestyle,Talk about a peaceful spot in your city,talk about,a peaceful spot in your city,general,,main_point|supporting_points|example,peaceful spot|city|peaceful|spot
238,Technology,Explain how virtual reality can change entertainment,explain,how virtual reality can change entertainment,explain,,definition|how_it_works|example|impact,change entertainment|virtual reality|reality can change|entertainment|virtual|reality|change
239,Environment,Share tips to protect the environment in your community,share,tips to protect the environment in your community,advice,,steps|example|why_it_works,tips to protect|protect the environment|tips|community|protect|environment
240,Health & Fitness,Discuss the mental benefits of yoga,discuss,the mental benefits of yoga,general,,main_point|supporting_points|example,benefits of yoga|mental benefits|yoga|mental|benefits
241,Science,Talk about a scientific breakthrough that amazed you,talk about,a scientific breakthrough that amazed you,general,,main_point|supporting_points|example,scientific breakthrough|breakthrough that amazed|scientific|breakthrough|amazed
242,Social Issues,Describe a charity or organization you admire,describe,a charity or organization you admire,general,,main_point|supporting_points|example,organization you admire|charity or organization|admire|charity|organization
243,Entertainment,Share your favorite film director or actor,share,your favorite film director or actor,general,,main_point|supporting_points|example,favorite film director|director or actor|favorite film|film director|actor|favorite|film|director
244,History,Discuss the importance of studying history,discuss,the importance of studying history,general,,main_point|supporting_points|example,studying history|importance of studying|history|importance|studying
245,Food,Describe a traditional dish from your region,describe,a traditional dish from your region,general,,main_point|supporting_points|example,traditional dish|region|traditional|dish
246,Sports,Talk about a memorable sports event you watched,talk about,a memorable sports event you watched,event,,time|place|what_happened|your_view,memorable sports event|event you watched|memorable sports|sports event|watched|memorable|sports|event
247,Motivation,Explain a quote that inspires perseverance,explain,a quote that inspires perseverance,explain,,definition|how_it_works|example|impact,inspires perseverance|quote that inspires|perseverance|quote|inspires
248,Relationships,Share a story about a meaningful friendship,share,a story about a meaningful friendship,story,,time|place|who|what_happened|result,meaningful friendship|friendship|story|meaningful
249,Art & Literature,Describe your favorite book genre and why,describe,your favorite book genre and why,explain,,definition|how_it_works|example|impact,favorite book genre|favorite book|book genre|favorite|book|genre
250,Current Affairs,Discuss a recent government policy and its impact,discuss,a recent government policy and its impact,event,recent,time|place|what_happened|your_view,recent government policy|recent government|government policy|impact|recent|government|policy
251,Education,Explain a method that helped you improve academically,explain,a method that helped you improve academically,explain,,definition|how_it_works|example|impact,improve academically|method that helped|helped you improve|academically|method|helped|improve
252,Lifestyle,Talk about your favorite outdoor activity,talk about,your favorite outdoor activity,general,,main_point|supporting_points|example,favorite outdoor activity|outdoor activity|favorite outdoor|activity|favorite|outdoor
253,Technology,Share your thoughts on autonomous vehicles,share,your thoughts on autonomous vehicles,general,,main_point|supporting_points|example,autonomous vehicles|thoughts on autonomous|vehicles|thoughts|autonomous
254,Environment,Describe a local environmental challenge,describe,a local environmental challenge,general,,main_point|supporting_points|example,local environmental challenge|environmental challenge|local environmental|challenge|local|environmental
255,Health & Fitness,Discuss the benefits of a balanced diet,discuss,the benefits of a balanced diet,general,,main_point|supporting_points|example,balanced diet|diet|benefits|balanced
256,Science,Explain a scientific concept in simple terms,explain,a scientific concept in simple terms,explain,,definition|how_it_works|example|impact,simple terms|scientific concept|concept in simple|terms|scientific|concept|simple
257,Social Issues,Talk about a social leader you admire,talk about,a social leader you admire,general,,main_point|supporting_points|example,leader you admire|social leader|admire|social|leader
258,Entertainment,Describe a memorable theatre performance,describe,a memorable theatre performance,experience,,time|place|who|what_happened|reflection,memorable theatre performance|theatre performance|memorable theatre|performance|memorable|theatre
259,History,Share a historical figure’s contribution to society,share,a historical figure’s contribution to society,general,,main_point|supporting_points|example,contribution to society|historical figure|figure ’s contribution|society|historical|figure|contribution
260,Food,Talk about your favorite comfort food,talk about,your favorite comfort food,general,,main_point|supporting_points|example,favorite comfort food|comfort food|favorite comfort|food|favorite|comfort
261,Sports,Explain how sports teach discipline,explain,how sports teach discipline,explain,,definition|how_it_works|example|impact,sports teach discipline|teach discipline|sports teach|discipline|sports|teach
262,Motivation,Describe a motivational book you read,describe,a motivational book you read,general,,main_point|supporting_points|example,book you read|motivational book|read|motivational|book
263,Relationships,Share a relationship lesson you learned,share,a relationship lesson you learned,general,personal,main_point|supporting_points|example,lesson you learned|relationship lesson|learned|relationship|lesson
264,Art & Literature,Discuss a famous poet or writer and their work,discuss,a famous poet or writer and their work,general,work,main_point|supporting_points|example,famous poet|poet or writer|work|famous|poet|writer
265,Current Affairs,Explain a recent world event and its significance,explain,a recent world event and its significance,event,recent,time|place|what_happened|your_view,recent world event|recent world|world event|significance|recent|world|event
266,Education,Talk about a study habit that improved your grades,talk about,a study habit that improved your grades,general,,main_point|supporting_points|example,improved your grades|study habit|habit that improved|grades|study|habit|improved
267,Lifestyle,Describe a relaxing routine you follow,describe,a relaxing routine you follow,general,,main_point|supporting_points|example,routine you follow|relaxing routine|follow|relaxing|routine
268,Technology,Discuss a futuristic technology you hope exists,discuss,a futuristic technology you hope exists,general,,main_point|supporting_points|example,hope exists|futuristic technology|technology you hope|exists|futuristic|technology|hope
269,Environment,Explain a simple way to reduce plastic usage,explain,a simple way to reduce plastic usage,explain,,definition|how_it_works|example|impact,reduce plastic usage|plastic usage|reduce plastic|usage|simple|reduce|plastic
270,Health & Fitness,Share your favorite exercise routine,share,your favorite exercise routine,general,,main_point|supporting_points|example,favorite exercise routine|exercise routine|favorite exercise|routine|favorite|exercise
271,Science,Describe an experiment you did at school,describe,an experiment you did at school,general,school,main_point|supporting_points|example,school|experiment
272,Social Issues,Talk about a social campaign that inspired you,talk about,a social campaign that inspired you,general,,main_point|supporting_points|example,social campaign|campaign that inspired|social|campaign|inspired
273,Entertainment,Describe a live performance you attended,describe,a live performance you attended,general,,main_point|supporting_points|example,performance you attended|live performance|attended|live|performance
274,History,Discuss the influence of a historical leader,discuss,the influence of a historical leader,general,,main_point|supporting_points|example,historical leader|leader|influence|historical
275,Food,Explain a family recipe you cherish,explain,a family recipe you cherish,explain,personal,definition|how_it_works|example|impact,recipe you cherish|family recipe|cherish|family|recipe
276,Sports,Talk about a local sports hero,talk about,a local sports hero,general,,main_point|supporting_points|example,local sports hero|sports hero|local sports|hero|local|sports
277,Motivation,Share an inspiring speech you heard,share,an inspiring speech you heard,general,,main_point|supporting_points|example,speech you heard|inspiring speech|heard|inspiring|speech
278,Relationships,Describe an important lesson from a past relationship,describe,an important lesson from a past relationship,general,past|personal,main_point|supporting_points|example,past relationship|important lesson|relationship|important|lesson|past
279,Art & Literature,Explain the impact of a famous literary work,explain,the impact of a famous literary work,explain,work,definition|how_it_works|example|impact,famous literary work|literary work|famous literary|work|impact|famous|literary
280,Current Affairs,Discuss a news story you recently followed,discuss,a news story you recently followed,story,recent,time|place|who|what_happened|result,story you recently|story|recently
281,Education,Describe a classroom experience that changed you,describe,a classroom experience that changed you,experience,,time|place|who|what_happened|reflection,classroom experience|experience that changed|classroom|experience|changed
282,Lifestyle,Share your favorite hobby and its benefits,share,your favorite hobby and its benefits,general,,main_point|supporting_points|example,favorite hobby|benefits|favorite|hobby
283,Technology,Talk about the latest development in AI,talk about,the latest development in AI,general,,main_point|supporting_points|example,latest development|latest|development
284,Environment,Explain how planting trees helps the planet,explain,how planting trees helps the planet,explain,,definition|how_it_works|example|impact,planting trees|planet|planting|trees
285,Health & Fitness,Discuss the importance of mental wellness,discuss,the importance of mental wellness,general,,main_point|supporting_points|example,mental wellness|importance of mental|wellness|importance|mental
286,Science,Describe a scientific fact that amazed you,describe,a scientific fact that amazed you,general,,main_point|supporting_points|example,scientific fact|fact that amazed|scientific|fact|amazed
287,Social Issues,Share a story of community support you witnessed,share,a story of community support you witnessed,story,,time|place|who|what_happened|result,support you witnessed|story of community|community support|witnessed|story|community|support
288,Entertainment,Talk about your favorite musician or band,talk about,your favorite musician or band,general,,main_point|supporting_points|example,musician or band|favorite musician|band|favorite|musician
289,History,Describe a historic event that shaped your city,describe,a historic event that shaped your city,event,,time|place|what_happened|your_view,shaped your city|historic event|event that shaped|city|historic|event|shaped
290,Food,Explain a unique family tradition,explain,a unique family tradition,explain,personal,definition|how_it_works|example|impact,unique family tradition|family tradition|unique family|tradition|unique|family
291,Sports,Discuss the skills you learned from sports,discuss,the skills you learned from sports,general,,main_point|supporting_points|example,learned from sports|skills you learned|sports|skills|learned
292,Motivation,Share a quote that keeps you motivated,share,a quote that keeps you motivated,general,,main_point|supporting_points|example,motivated|quote
293,Relationships,Talk about a meaningful friendship in school,talk about,a meaningful friendship in school,general,past|school,main_point|supporting_points|example,friendship in school|meaningful friendship|school|meaningful|friendship
294,Art & Literature,Describe a piece of art that inspires creativity,describe,a piece of art that inspires creativity,general,,main_point|supporting_points|example,inspires creativity|piece of art|art that inspires|creativity|piece|art|inspires
295,Current Affairs,Explain the impact of current events on society,explain,the impact of current events on society,explain,,definition|how_it_works|example|impact,events on society|impact of current|current events|society|impact|current|events
296,Education,Discuss a study technique that works for you,discuss,a study technique that works for you,general,,main_point|supporting_points|example,study technique|technique that works|study|technique|works
297,Lifestyle,Share a relaxing place you enjoy visiting,share,a relaxing place you enjoy visiting,general,,main_point|supporting_points|example,enjoy visiting|relaxing place|place you enjoy|visiting|relaxing|place|enjoy
298,Technology,Talk about an emerging technology you’re curious about,talk about,an emerging technology you’re curious about,general,,main_point|supporting_points|example,emerging technology|technology you ’re|’re curious|emerging|technology|’re|curious
299,Environment,Describe a way to minimize carbon footprint,describe,a way to minimize carbon footprint,general,,main_point|supporting_points|example,minimize carbon footprint|carbon footprint|minimize carbon|footprint|minimize|carbon
300,Health & Fitness,Explain the health benefits of regular walking,explain,the health benefits of regular walking,explain,,definition|how_it_works|example|impact,regular walking|health benefits|benefits of regular|walking|health|benefits|regular
301,Science,Discuss a recent science discovery,discuss,a recent science discovery,general,recent,main_point|supporting_points|example,recent science discovery|science discovery|recent science|discovery|recent|science
302,Social Issues,Share an inspiring social initiative,share,an inspiring social initiative,general,,main_point|supporting_points|example,inspiring social initiative|social initiative|inspiring social|initiative|inspiring|social
303,Entertainment,Talk about a memorable live show or concert,talk about,a memorable live show or concert,experience,,time|place|who|what_happened|reflection,memorable live show|show or concert|memorable live|live show|concert|memorable|live|show
304,History,Describe a historical site you visited,describe,a historical site you visited,general,,main_point|supporting_points|example,site you visited|historical site|visited|historical|site
305,Food,Explain your favorite family recipe,explain,your favorite family recipe,explain,personal,definition|how_it_works|example|impact,favorite family recipe|family recipe|favorite family|recipe|favorite|family
306,Sports,Talk about a sports event that motivated you,talk about,a sports event that motivated you,event,,time|place|what_happened|your_view,sports event|event that motivated|sports|event|motivated
307,Motivation,Share a lesson from a motivational speaker,share,a lesson from a motivational speaker,general,,main_point|supporting_points|example,motivational speaker|speaker|lesson|motivational
308,Relationships,Describe a relationship that taught you empathy,describe,a relationship that taught you empathy,general,personal,main_point|supporting_points|example,taught you empathy|relationship that taught|empathy|relationship|taught
309,Art & Literature,Discuss your favorite literary genre,discuss,your favorite literary genre,general,,main_point|supporting_points|example,favorite literary genre|literary genre|favorite literary|genre|favorite|literary
310,Current Affairs,Explain a current international news story,explain,a current international news story,explain,,definition|how_it_works|example|impact,international news story|current international|story|current|international
311,Education,Talk about a learning strategy that helped you,talk about,a learning strategy that helped you,general,,main_point|supporting_points|example,learning strategy|strategy that helped|learning|strategy|helped
312,Lifestyle,Describe a lifestyle habit that makes you happy,describe,a lifestyle habit that makes you happy,general,,main_point|supporting_points|example,makes you happy|lifestyle habit|habit that makes|happy|lifestyle|habit|makes
313,Technology,Discuss a recent innovation in mobile technology,discuss,a recent innovation in mobile technology,general,recent,main_point|supporting_points|example,mobile technology|recent innovation|innovation in mobile|technology|recent|innovation|mobile
314,Environment,Explain how recycling can change communities,explain,how recycling can change communities,explain,,definition|how_it_works|example|impact,change communities|recycling can change|communities|recycling|change
315,Health & Fitness,Share your favorite health tip,share,your favorite health tip,general,,main_point|supporting_points|example,favorite health tip|health tip|favorite health|tip|favorite|health
316,Science,Talk about an inspiring science experiment,talk about,an inspiring science experiment,general,,main_point|supporting_points|example,inspiring science experiment|science experiment|inspiring science|experiment|inspiring|science
317,Social Issues,Describe a social issue you feel passionate about,describe,a social issue you feel passionate about,general,,main_point|supporting_points|example,social issue|issue you feel|feel passionate|social|issue|feel|passionate
318,Entertainment,Explain your favorite movie scene,explain,your favorite movie scene,explain,,definition|how_it_works|example|impact,favorite movie scene|movie scene|favorite movie|scene|favorite|movie
319,History,Discuss a historical revolution that shaped a nation,discuss,a historical revolution that shaped a nation,general,,main_point|supporting_points|example,shaped a nation|historical revolution|revolution that shaped|nation|historical|revolution|shaped
320,Food,Talk about a recipe you recently mastered,talk about,a recipe you recently mastered,general,recent,main_point|supporting_points|example,recently mastered|recipe you recently|mastered|recipe|recently
321,Sports,Share how sports improve teamwork skills,share,how sports improve teamwork skills,explain,,definition|how_it_works|example|impact,improve teamwork skills|sports improve teamwork|teamwork skills|sports improve|improve teamwork|skills|sports|improve
322,Motivation,Describe a motivational lesson from a coach,describe,a motivational lesson from a coach,general,,main_point|supporting_points|example,motivational lesson|coach|motivational|lesson
323,Relationships,Talk about a personal relationship that influenced you,talk about,a personal relationship that influenced you,general,personal,main_point|supporting_points|example,personal relationship|relationship that influenced|personal|relationship|influenced
324,Art & Literature,Explain a famous painter’s style,explain,a famous painter’s style,explain,,definition|how_it_works|example|impact,painter ’s style|famous painter|style|famous|painter
325,Current Affairs,Discuss a recent national news story,discuss,a recent national news story,story,recent,time|place|who|what_happened|result,national news story|recent national|story|recent|national
326,Education,Describe a study method that helps you focus,describe,a study method that helps you focus,explain,,definition|how_it_works|example|impact,study method|focus|study|method
327,Lifestyle,Talk about your favorite way to spend free time,talk about,your favorite way to spend free time,general,,main_point|supporting_points|example,spend free time|free time|spend free|time|favorite|spend|free
328,Technology,Explain a futuristic innovation you hope to see,explain,a futuristic innovation you hope to see,explain,,definition|how_it_works|example|impact,futuristic innovation|innovation you hope|futuristic|innovation|hope
329,Environment,Share a local environmental initiative,share,a local environmental initiative,general,,main_point|supporting_points|example,local environmental initiative|environmental initiative|local environmental|initiative|local|environmental
330,Health & Fitness,Discuss the benefits of outdoor activities,discuss,the benefits of outdoor activities,general,,main_point|supporting_points|example,outdoor activities|benefits of outdoor|activities|benefits|outdoor
331,Science,Describe a scientific breakthrough you admire,describe,a scientific breakthrough you admire,general,,main_point|supporting_points|example,breakthrough you admire|scientific breakthrough|admire|scientific|breakthrough
332,Social Issues,Talk about a social issue solved by community efforts,talk about,a social issue solved by community efforts,general,,main_point|supporting_points|example,social issue solved|community efforts|social issue|issue solved|solved by community|efforts|social|issue
333,Entertainment,Explain a memorable theatre performance,explain,a memorable theatre performance,explain,,definition|how_it_works|example|impact,memorable theatre performance|theatre performance|memorable theatre|performance|memorable|theatre
334,History,Describe a historic landmark in your city,describe,a historic landmark in your city,general,,main_point|supporting_points|example,historic landmark|city|historic|landmark
335,Food,Share a dish that reminds you of family,share,a dish that reminds you of family,general,personal,main_point|supporting_points|example,dish that reminds|family|dish|reminds
336,Sports,Talk about a famous athlete’s journey,talk about,a famous athlete’s journey,general,,main_point|supporting_points|example,athlete ’s journey|famous athlete|journey|famous|athlete
337,Motivation,Explain how motivation affects success,explain,how motivation affects success,explain,,definition|how_it_works|example|impact,motivation affects success|affects success|motivation affects|success|motivation|affects
338,Relationships,Discuss a lesson from a past relationship,discuss,a lesson from a past relationship,general,past|personal,main_point|supporting_points|example,past relationship|relationship|lesson|past
339,Art & Literature,Describe your favorite literary character,describe,your favorite literary character,general,,main_point|supporting_points|example,favorite literary character|literary character|favorite literary|character|favorite|literary
340,Current Affairs,Share your thoughts on global current events,share,your thoughts on global current events,general,,main_point|supporting_points|example,global current events|current events|thoughts on global|global current|events|thoughts|global|current
341,Education,Talk about a study habit that improves learning,talk about,a study habit that improves learning,general,,main_point|supporting_points|example,improves learning|study habit|habit that improves|learning|study|habit|improves
342,Personal,Describe a moment that made you proud of yourself,describe,a moment that made you proud of yourself,experience,,time|place|who|what_happened|reflection,moment that made|made you proud|moment|made|proud
343,Personal,Talk about a skill that surprised you when you learned it,talk about,a skill that surprised you when you learned it,general,,main_point|supporting_points|example,skill that surprised|skill|surprised|learned
344,Science,Explain how quantum physics fascinates you,explain,how quantum physics fascinates you,explain,,definition|how_it_works|example|impact,quantum physics fascinates|quantum physics|physics fascinates|quantum|physics|fascinates
345,Technology,Discuss the role of blockchain in modern finance,discuss,the role of blockchain in modern finance,general,,main_point|supporting_points|example,modern finance|role of blockchain|blockchain in modern|finance|role|blockchain|modern
346,Culture,Share a local tradition you’d like to preserve,share,a local tradition you’d like to preserve,general,,main_point|supporting_points|example,local tradition|preserve|local|tradition
347,Business,Describe an ethical dilemma you faced,describe,an ethical dilemma you faced,general,,main_point|supporting_points|example,dilemma you faced|ethical dilemma|faced|ethical|dilemma
348,Personal,Talk about a hobby that challenges you mentally,talk about,a hobby that challenges you mentally,general,,main_point|supporting_points|example,challenges you mentally|hobby that challenges|mentally|hobby|challenges
349,Travel,Explain how traveling can broaden perspectives,explain,how traveling can broaden perspectives,explain,,definition|how_it_works|example|impact,broaden perspectives|traveling can broaden|perspectives|traveling|broaden
350,Environment,Discuss creative ways to save water,discuss,creative ways to save water,advice,,steps|example|why_it_works,save water|creative|water|save
351,Health & Fitness,Share the benefits of a digital detox,share,the benefits of a digital detox,general,,main_point|supporting_points|example,digital detox|detox|benefits|digital
352,Science,Describe an unusual scientific experiment you’d try,describe,an unusual scientific experiment you’d try,general,,main_point|supporting_points|example,unusual scientific experiment|unusual scientific|scientific experiment|unusual|scientific|experiment
353,Social Issues,Talk about a social change movement you admire,talk about,a social change movement you admire,general,,main_point|supporting_points|example,social change movement|movement you admire|social change|change movement|admire|social|change|movement
354,Entertainment,Explain why you like a particular TV series,explain,why you like a particular TV series,explain,,definition|how_it_works|example|impact,series
355,History,Describe a historical event that shaped your country,describe,a historical event that shaped your country,event,,time|place|what_happened|your_view,shaped your country|historical event|event that shaped|country|historical|event|shaped
356,Food,Share a recipe from another culture you tried,share,a recipe from another culture you tried,general,,main_point|supporting_points|example,recipe|culture
357,Sports,Discuss the evolution of a sport you enjoy,discuss,the evolution of a sport you enjoy,general,,main_point|supporting_points|example,sport you enjoy|enjoy|evolution|sport
358,Motivation,Explain a personal motto that guides your life,explain,a personal motto that guides your life,explain,,definition|how_it_works|example|impact,guides your life|personal motto|motto that guides|life|personal|motto|guides
359,Relationships,Describe an influential mentor in your life,describe,an influential mentor in your life,general,,main_point|supporting_points|example,influential mentor|life|influential|mentor
360,Art & Literature,Talk about a famous painting that tells a story,talk about,a famous painting that tells a story,story,,time|place|who|what_happened|result,famous painting|story|famous|painting
361,Current Affairs,Discuss a recent news story from a different country,discuss,a recent news story from a different country,story,recent,time|place|who|what_happened|result,recent news story|country|recent|story
362,Education,Describe a memorable learning experience outside school,describe,a memorable learning experience outside school,experience,school,time|place|who|what_happened|reflection,memorable learning experience|experience outside school|memorable learning|learning experience|school|memorable|learning|experience
363,Lifestyle,Talk about a location that inspires creativity,talk about,a location that inspires creativity,general,,main_point|supporting_points|example,inspires creativity|location that inspires|creativity|location|inspires
364,Technology,Explain the future potential of nanotechnology,explain,the future potential of nanotechnology,explain,,definition|how_it_works|example|impact,potential of nanotechnology|future potential|nanotechnology|future|potential
365,Environment,Discuss the effects of climate change on agriculture,discuss,the effects of climate change on agriculture,general,,main_point|supporting_points|example,change on agriculture|effects of climate|climate change|agriculture|effects|climate|change
366,Health & Fitness,Share mental health strategies that work for you,share,mental health strategies that work for you,advice,work,steps|example|why_it_works,mental health strategies|mental health|health strategies|strategies that work|mental|health|strategies|work
367,Science,Describe a scientific principle in everyday life,describe,a scientific principle in everyday life,general,,main_point|supporting_points|example,everyday life|scientific principle|principle in everyday|life|scientific|principle|everyday
368,Social Issues,Talk about a social campaign that made a real difference,talk about,a social campaign that made a real difference,compare,,item_a|item_b|similarities|differences|conclusion,real difference|social campaign|campaign that made|made a real|difference|social|campaign|made
369,Entertainment,Explain why you enjoy a particular video game or app,explain,why you enjoy a particular video game or app,explain,,definition|how_it_works|example|impact,game or app|video game|app|enjoy|video|game
370,History,Describe a historical artifact you want to see,describe,a historical artifact you want to see,general,,main_point|supporting_points|example,historical artifact|historical|artifact
371,Food,Share a dessert recipe you love making,share,a dessert recipe you love making,general,,main_point|supporting_points|example,love making|dessert recipe|recipe you love|making|dessert|recipe|love
372,Sports,Discuss the life lessons learned from playing sports,discuss,the life lessons learned from playing sports,general,,main_point|supporting_points|example,life lessons learned|playing sports|life lessons|lessons learned|learned from playing|sports|life|lessons
373,Motivation,Explain how to stay motivated during difficult times,explain,how to stay motivated during difficult times,advice,,steps|example|why_it_works,difficult times|stay motivated|motivated during difficult|times|stay|motivated|difficult
374,Relationships,Describe a close friend who impacted your growth,describe,a close friend who impacted your growth,general,personal,main_point|supporting_points|example,impacted your growth|close friend|friend who impacted|growth|close|friend|impacted
375,Art & Literature,Talk about a literary style you admire,talk about,a literary style you admire,general,,main_point|supporting_points|example,style you admire|literary style|admire|literary|style
376,Current Affairs,Discuss how current events affect global relations,discuss,how current events affect global relations,explain,,definition|how_it_works|example|impact,affect global relations|current events affect|events affect global|global relations|current events|events affect|affect global|relations
